nom_subreg,nom_depto,cod_depto,cod_subreg,cod_muni,nom_muni
BAJO CAUCA Y NORDESTE ANTIOQUEÑO,ANTIOQUIA,05,3,05495,NECHÍ
BAJO CAUCA Y NORDESTE ANTIOQUEÑO,ANTIOQUIA,05,3,05604,REMEDIOS
BAJO CAUCA Y NORDESTE ANTIOQUEÑO,ANTIOQUIA,05,3,05736,SEGOVIA
BAJO CAUCA Y NORDESTE ANTIOQUEÑO,ANTIOQUIA,05,3,05790,TARAZÁ
BAJO CAUCA Y NORDESTE ANTIOQUEÑO,ANTIOQUIA,05,3,05854,VALDIVIA
BAJO CAUCA Y NORDESTE ANTIOQUEÑO,ANTIOQUIA,05,3,05895,ZARAGOZA
CATATUMBO,NORTE DE SANTANDER,54,4,54206,CONVENCIÓN
CATATUMBO,NORTE DE SANTANDER,54,4,54245,EL CARMEN
CATATUMBO,NORTE DE SANTANDER,54,4,54250,EL TARRA
CATATUMBO,NORTE DE SANTANDER,54,4,54344,HACARÍ
CATATUMBO,NORTE DE SANTANDER,54,4,54670,SAN CALIXTO
CATATUMBO,NORTE DE SANTANDER,54,4,54720,SARDINATA
CATATUMBO,NORTE DE SANTANDER,54,4,54800,TEORAMA
CATATUMBO,NORTE DE SANTANDER,54,4,54810,TIBÚ
CHOCÓ,ANTIOQUIA,05,5,05475,MURINDÓ
CHOCÓ,ANTIOQUIA,05,5,05873,VIGÍA DEL FUERTE
CHOCÓ,CHOCÓ,27,5,27006,ACANDÍ
CHOCÓ,CHOCÓ,27,5,27099,BOJAYA
CHOCÓ,CHOCÓ,27,5,27150,CARMEN DEL DARIEN
CHOCÓ,CHOCÓ,27,5,27205,CONDOTO
CHOCÓ,CHOCÓ,27,5,27250,EL LITORAL DEL SAN JUAN
CHOCÓ,CHOCÓ,27,5,27361,ISTMINA
CHOCÓ,CHOCÓ,27,5,27425,MEDIO ATRATO
CHOCÓ,CHOCÓ,27,5,27450,MEDIO SAN JUAN
CHOCÓ,CHOCÓ,27,5,27491,NÓVITA
CHOCÓ,CHOCÓ,27,5,27615,RIOSUCIO
CHOCÓ,CHOCÓ,27,5,27745,SIPÍ
CHOCÓ,CHOCÓ,27,5,27800,UNGUÍA
CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,CAQUETÁ,18,6,18029,ALBANIA
CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,CAQUETÁ,18,6,18094,BELÉN DE LOS ANDAQUÍES
CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,CAQUETÁ,18,6,18150,CARTAGENA DEL CHAIRÁ
CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,CAQUETÁ,18,6,18205,CURILLO
CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,CAQUETÁ,18,6,18247,EL DONCELLO
CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,CAQUETÁ,18,6,18256,EL PAUJIL
CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,CAQUETÁ,18,6,18001,FLORENCIA
CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,CAQUETÁ,18,6,18410,LA MONTAÑITA
CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,CAQUETÁ,18,6,18460,MILÁN
CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,CAQUETÁ,18,6,18479,MORELIA
CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,CAQUETÁ,18,6,18592,PUERTO RICO
CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,CAQUETÁ,18,6,18610,SAN JOSÉ DEL FRAGUA
CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,CAQUETÁ,18,6,18753,SAN VICENTE DEL CAGUÁN
CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,CAQUETÁ,18,6,18756,SOLANO
CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,CAQUETÁ,18,6,18785,SOLITA
CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,CAQUETÁ,18,6,18860,VALPARAÍSO
CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,HUILA,41,6,41020,ALGECIRAS
MACARENA - GUAVIARE,GUAVIARE,95,7,95015,CALAMAR
MACARENA - GUAVIARE,GUAVIARE,95,7,95025,EL RETORNO
MACARENA - GUAVIARE,GUAVIARE,95,7,95200,MIRAFLORES
MACARENA - GUAVIARE,GUAVIARE,95,7,95001,SAN JOSÉ DEL GUAVIARE
MACARENA - GUAVIARE,META,50,7,50350,LA MACARENA
MACARENA - GUAVIARE,META,50,7,50325,MAPIRIPÁN
MACARENA - GUAVIARE,META,50,7,50330,MESETAS
MACARENA - GUAVIARE,META,50,7,50450,PUERTO CONCORDIA
MACARENA - GUAVIARE,META,50,7,50577,PUERTO LLERAS
MACARENA - GUAVIARE,META,50,7,50590,PUERTO RICO
MACARENA - GUAVIARE,META,50,7,50370,URIBE
MACARENA - GUAVIARE,META,50,7,50711,VISTA HERMOSA
MONTES DE MARÍA,BOLÍVAR,13,8,13212,CÓRDOBA
MONTES DE MARÍA,BOLÍVAR,13,8,13244,EL CARMEN DE BOLÍVAR
MONTES DE MARÍA,BOLÍVAR,13,8,13248,EL GUAMO
MONTES DE MARÍA,BOLÍVAR,13,8,13442,MARÍA LA BAJA
MONTES DE MARÍA,BOLÍVAR,13,8,13654,SAN JACINTO
MONTES DE MARÍA,BOLÍVAR,13,8,13657,SAN JUAN NEPOMUCENO
MONTES DE MARÍA,BOLÍVAR,13,8,13894,ZAMBRANO
MONTES DE MARÍA,SUCRE,70,8,70230,CHALÁN
MONTES DE MARÍA,SUCRE,70,8,70204,COLOSO
MONTES DE MARÍA,SUCRE,70,8,70418,LOS PALMITOS
MONTES DE MARÍA,SUCRE,70,8,70473,MORROA
MONTES DE MARÍA,SUCRE,70,8,70508,OVEJAS
MONTES DE MARÍA,SUCRE,70,8,70523,SAN ANTONIO DE PALMITO
MONTES DE MARÍA,SUCRE,70,8,70713,SAN ONOFRE
MONTES DE MARÍA,SUCRE,70,8,70823,TOLÚ VIEJO
PACÍFICO MEDIO,CAUCA,19,9,19318,GUAPI
PACÍFICO MEDIO,CAUCA,19,9,19418,LÓPEZ
PACÍFICO MEDIO,CAUCA,19,9,19809,TIMBIQUÍ
PACÍFICO MEDIO,VALLE DEL CAUCA,76,9,76109,BUENAVENTURA
PACÍFICO Y FRONTERA NARIÑENSE,NARIÑO,52,10,52079,BARBACOAS
PACÍFICO Y FRONTERA NARIÑENSE,NARIÑO,52,10,52250,EL CHARCO
PACÍFICO Y FRONTERA NARIÑENSE,NARIÑO,52,10,52520,FRANCISCO PIZARRO
PACÍFICO Y FRONTERA NARIÑENSE,NARIÑO,52,10,52390,LA TOLA
PACÍFICO Y FRONTERA NARIÑENSE,NARIÑO,52,10,52427,MAGÜI
PACÍFICO Y FRONTERA NARIÑENSE,NARIÑO,52,10,52473,MOSQUERA
PACÍFICO Y FRONTERA NARIÑENSE,NARIÑO,52,10,52490,OLAYA HERRERA
PACÍFICO Y FRONTERA NARIÑENSE,NARIÑO,52,10,52612,RICAURTE
PACÍFICO Y FRONTERA NARIÑENSE,NARIÑO,52,10,52621,ROBERTO PAYÁN
PACÍFICO Y FRONTERA NARIÑENSE,NARIÑO,52,10,52835,SAN ANDRES DE TUMACO
PACÍFICO Y FRONTERA NARIÑENSE,NARIÑO,52,10,52696,SANTA BÁRBARA
PUTUMAYO,PUTUMAYO,86,11,86573,LEGUÍZAMO
PUTUMAYO,PUTUMAYO,86,11,86001,MOCOA
PUTUMAYO,PUTUMAYO,86,11,86320,ORITO
PUTUMAYO,PUTUMAYO,86,11,86568,PUERTO ASÍS
PUTUMAYO,PUTUMAYO,86,11,86569,PUERTO CAICEDO
PUTUMAYO,PUTUMAYO,86,11,86571,PUERTO GUZMÁN
PUTUMAYO,PUTUMAYO,86,11,86757,SAN MIGUEL
PUTUMAYO,PUTUMAYO,86,11,86865,VALLE DEL GUAMUEZ
PUTUMAYO,PUTUMAYO,86,11,86885,VILLAGARZÓN
SIERRA NEVADA - PERIJÁ,CESAR,20,12,20013,AGUSTÍN CODAZZI
SIERRA NEVADA - PERIJÁ,CESAR,20,12,20045,BECERRIL
SIERRA NEVADA - PERIJÁ,CESAR,20,12,20400,LA JAGUA DE IBIRICO
SIERRA NEVADA - PERIJÁ,CESAR,20,12,20621,LA PAZ
SIERRA NEVADA - PERIJÁ,CESAR,20,12,20443,MANAURE BALCÓN DEL CESAR
SIERRA NEVADA - PERIJÁ,CESAR,20,12,20570,PUEBLO BELLO
SIERRA NEVADA - PERIJÁ,CESAR,20,12,20750,SAN DIEGO
SIERRA NEVADA - PERIJÁ,CESAR,20,12,20001,VALLEDUPAR
SIERRA NEVADA - PERIJÁ,LA GUAJIRA,44,12,44090,DIBULLA
SIERRA NEVADA - PERIJÁ,LA GUAJIRA,44,12,44279,FONSECA
SIERRA NEVADA - PERIJÁ,LA GUAJIRA,44,12,44650,SAN JUAN DEL CESAR
SIERRA NEVADA - PERIJÁ,MAGDALENA,47,12,47053,ARACATACA
SIERRA NEVADA - PERIJÁ,MAGDALENA,47,12,47189,CIÉNAGA
SIERRA NEVADA - PERIJÁ,MAGDALENA,47,12,47288,FUNDACIÓN
SIERRA NEVADA - PERIJÁ,MAGDALENA,47,12,47001,SANTA MARTA
SUR DE BOLÍVAR,ANTIOQUIA,05,13,05893,YONDÓ
SUR DE BOLÍVAR,BOLÍVAR,13,13,13042,ARENAL
SUR DE BOLÍVAR,BOLÍVAR,13,13,13160,CANTAGALLO
SUR DE BOLÍVAR,BOLÍVAR,13,13,13473,MORALES
SUR DE BOLÍVAR,BOLÍVAR,13,13,13670,SAN PABLO
SUR DE BOLÍVAR,BOLÍVAR,13,13,13688,SANTA ROSA DEL SUR
SUR DE BOLÍVAR,BOLÍVAR,13,13,13744,SIMITÍ
SUR DE CÓRDOBA,CÓRDOBA,23,14,23466,MONTELÍBANO
SUR DE CÓRDOBA,CÓRDOBA,23,14,23580,PUERTO LIBERTADOR
SUR DE CÓRDOBA,CÓRDOBA,23,14,23682,SAN JOSE DE URE
SUR DE CÓRDOBA,CÓRDOBA,23,14,23807,TIERRALTA
SUR DE CÓRDOBA,CÓRDOBA,23,14,23855,VALENCIA
SUR DEL TOLIMA,TOLIMA,73,15,73067,ATACO
SUR DEL TOLIMA,TOLIMA,73,15,73168,CHAPARRAL
SUR DEL TOLIMA,TOLIMA,73,15,73555,PLANADAS
SUR DEL TOLIMA,TOLIMA,73,15,73616,RIOBLANCO
URABÁ ANTIOQUEÑO,ANTIOQUIA,05,16,05045,APARTADÓ
URABÁ ANTIOQUEÑO,ANTIOQUIA,05,16,05147,CAREPA
URABÁ ANTIOQUEÑO,ANTIOQUIA,05,16,05172,CHIGORODÓ
URABÁ ANTIOQUEÑO,ANTIOQUIA,05,16,05234,DABEIBA
URABÁ ANTIOQUEÑO,ANTIOQUIA,05,16,05480,MUTATÁ
URABÁ ANTIOQUEÑO,ANTIOQUIA,05,16,05490,NECOCLÍ
URABÁ ANTIOQUEÑO,ANTIOQUIA,05,16,05665,SAN PEDRO DE URABA
URABÁ ANTIOQUEÑO,ANTIOQUIA,05,16,05837,TURBO
